,id,bot_score
1232,1496792612233220096,0.02
1234,1496792858308788224,0.0
1242,1496794277942288384,0.27
1246,1496794824468570112,0.27
1248,1496795053791997952,0.06
1251,1496795329630457856,0.2
1254,1496795749237018624,0.06
1256,1496796165366444032,0.18
1257,1496796234710929408,0.27
1259,1496796242919239680,0.18
1267,1496797540427075584,0.25
1271,1496798078841790464,0.06
1277,1496798588692692992,0.30000000000000004
1287,1496799955385729024,0.17
1288,1496800189868249088,0.27
1298,1496801115412779008,0.06
1305,1496801544884436992,0.27
1306,1496801552413360128,0.06
1313,1496802833324453888,0.16
1321,1496803541339549696,0.23
1325,1496804035281956864,0.06
1327,1496804097265131520,0.11
1328,1496804173735727104,0.16
1339,1496805315165265920,0.27
1341,1496805469960253440,0.30000000000000004
1360,1496806222192058368,0.06
1362,1496806223697620992,0.27
1373,1496806948053782528,0.17
1375,1496806995546066944,0.2
1382,1496807240833302528,0.2
1389,1496807739359739904,0.27
1396,1496808133947183104,0.27
1410,1496808952616882176,0.17
1424,1496810142025027584,0.17
1430,1496811040616681472,0.18
1435,1496812186471223296,0.08
1439,1496812863176028160,0.11
1441,1496813006717693952,0.13
1442,1496813053429846016,0.06
1445,1496813591604838400,0.03
1447,1496814276484468736,0.1
1450,1496814761803071488,0.07
1453,1496815774169714688,0.05
1463,1496816989587013632,0.06
1475,1496818120576622592,0.19
1482,1496819192200417280,0.03
1497,1496820788644958208,0.6000000000000001
1505,1496822387735683072,0.07
1506,1496822564672671744,0.78
1514,1496823771637993472,0.11
1519,1496824885154545664,0.75
1522,1496825813563490304,0.17
1526,1496826469221531648,0.17
1527,1496826919928614912,0.27
1538,1496829591700209664,0.25
1565,1496833158268207104,0.11
1581,1496837126750621696,0.37
1590,1496839248036704256,0.48
1592,1496839545760796672,0.05
1595,1496840129671233536,0.12
1604,1496843097195659264,0.15
1608,1496843559206539264,0.05
1610,1496843728719597568,0.12
1627,1496846936321761280,0.27
1640,1496848520678359040,0.23
1650,1496849291121414144,0.17
1661,1496852631377133568,0.24
1666,1496853389778595840,0.24
1679,1496856641983160320,0.12
1682,1496856785470246912,0.22
1687,1496858249529892864,0.25
1698,1496859675467616256,0.05
1706,1496861846283988992,0.08
1711,1496862680661073920,0.25
1712,1496863443755753472,0.11
1715,1496863860812566528,0.05
1719,1496864808125222912,0.17
1723,1496866711407976448,0.27
1724,1496866973862580224,0.04
1726,1496867219061551104,0.27
1731,1496868283898732544,0.13
1734,1496869022859735040,0.07
1736,1496869362862419968,0.16
1737,1496869525823922176,0.14
1739,1496869919744356352,0.17
1744,1496871060590845952,0.15
1747,1496871618588688384,0.1
1752,1496872221314371584,0.71
1753,1496872254902202368,0.35000000000000003
1761,1496873472919670784,0.15
1767,1496874220386762752,0.17
1772,1496874660436361216,0.17
1775,1496875324776329216,0.04
1788,1496877693597593600,0.12
1792,1496878435536457728,0.15
1799,1496880466531602432,0.26
1802,1496881103063314432,0.05
1814,1496883743574966272,0.22
1815,1496883795265523712,0.09
1816,1496883854992416768,0.19
1818,1496884187055497216,0.17
1830,1496886886215786496,0.04
1838,1496888553846247424,0.74
1839,1496888590525087744,0.75
1840,1496888616693342208,0.01
1842,1496888645328187392,0.8300000000000001
1843,1496888667876605952,0.14
1844,1496888699598290944,0.89
1845,1496888720846467072,0.67
1852,1496890513265655808,0.30000000000000004
1858,1496894626871054336,0.99
1860,1496894690695651328,0.64
1861,1496894964327849984,0.0
1867,1496895376657244160,0.25
1882,1496899471422070784,0.98
1887,1496900078711152640,0.15
1889,1496900595617177600,0.15
1897,1496902365106036736,0.19
1909,1496903977694343168,0.49
1912,1496904209471795200,0.31
1913,1496904344725241856,0.13
1914,1496904560014675968,0.03
1915,1496904878190313472,0.07
1937,1496908075353391104,0.03
1965,1496911215356182528,0.02
1970,1496912466093424640,0.02
1972,1496912937809854464,0.30000000000000004
1989,1496914825502691328,0.19
1991,1496915104440401920,0.45
2011,1496916676364886016,0.09
2013,1496916698254954496,0.02
2020,1496918112045703168,0.01
2021,1496918126759456768,0.6900000000000001
2025,1496918415604600832,0.6900000000000001
2027,1496918893302099968,0.03
2029,1496919413173460992,0.12
2031,1496919642299904000,0.42
2039,1496920663755730944,0.04
2047,1496922930042720256,0.16
2059,1496926122222796800,0.02
2065,1496927370825146368,0.06
2071,1496928492646277120,0.36
2072,1496928867755384832,0.87
2076,1496929932026400768,0.13
2081,1496930536090132480,0.88
2085,1496930738486272000,0.2
2092,1496931994638622720,0.41000000000000003
2102,1496935754735714304,0.06
2105,1496936800576843776,0.33
2106,1496937154328465408,0.04
2108,1496937720517591040,0.09
2112,1496938739309985792,0.78
2119,1496940276174422016,0.03
2127,1496941874963423232,0.14
2136,1496943580601978880,0.07
2145,1496944740348084224,0.85
2146,1496944747469934592,0.27
2147,1496944907507798016,0.14
2167,1496947578948182016,0.06
2169,1496949098313920512,0.29
2171,1496950162538872832,0.76
2173,1496950543167614976,0.04
2181,1496953257297682432,0.21
2184,1496953990294433792,0.33
2189,1496955095388356608,0.11
2195,1496955906147295232,0.14
2196,1496956273790795776,0.17
2229,1496966156506353664,0.12
2230,1496966267714031616,0.04
2231,1496966557511168000,0.22
2232,1496967094218354688,0.35000000000000003
2233,1496967676912148480,0.14
2234,1496967728032370688,0.9400000000000001
2240,1496968509628293120,0.35000000000000003
2254,1496971371703853056,0.73
2256,1496971530617638912,0.6000000000000001
2262,1496974181677809664,0.2
2265,1496975454468640768,0.01
2266,1496975478187569152,0.61
2274,1496978021068292096,0.01
2276,1496978660305235968,0.18
2293,1496983762168475648,0.1
2296,1496984595895570432,0.04
2303,1496986598050873344,0.21
2305,1496987835102121984,0.01
2317,1496991563704115200,0.06
2321,1496991835679567872,0.04
2324,1496992200252485632,0.06
2334,1496996168647077888,0.2
2346,1496998301270306816,0.2
2354,1497002098327953408,0.48
2356,1497003428018814976,0.24
2372,1497007851893633024,0.31
2382,1497009311066861568,0.22
2385,1497009923368042496,0.05
2394,1497012093689630720,0.19
2398,1497013026079543296,0.19
2404,1497015059880554496,0.15
2406,1497016775648563200,0.01
2424,1497024422418558976,0.09
2425,1497024531512233984,0.02
2428,1497024978285305856,0.12
2443,1497030730018349056,0.33
2445,1497032898825756672,0.24
2446,1497032970850664448,0.15
2447,1497033362988535808,0.17
2450,1497033748290084864,0.04
2468,1497037340824547328,0.21
2493,1497044402103255040,0.29
2501,1497046625801306112,0.2
2503,1497049292871135232,0.09
2513,1497053759822000128,0.30000000000000004
2519,1497055222996545536,0.15
2559,1497068762855796736,0.03
2563,1497070687508385792,0.23
2570,1497073855436836864,0.27
2574,1497074424444764160,0.42
2580,1497077081293074432,0.14
2582,1497077551075840000,0.13
2585,1497078627548397568,0.21
2588,1497079589675634688,0.12
2591,1497080248596594688,0.15
2593,1497080966782799872,0.01
2594,1497081051083993088,0.43
2595,1497081510054219776,0.21
2597,1497082093461188608,0.07
2598,1497082548329095168,0.28
2604,1497084342543212544,0.31
2621,1497090009240772608,0.75
2627,1497093459622215680,0.07
2651,1497098639327444992,0.08
2662,1497100303321251840,0.02
2668,1497101682546659328,0.33
2669,1497102122160209920,0.14
2677,1497103624891101184,0.65
2686,1497105549909012480,0.27
2703,1497108718818934784,0.27
2706,1497110325304332288,0.11
2707,1497110354710917120,0.16
2711,1497112115085070336,0.12
2713,1497112674525597696,0.15
2714,1497113623033876480,0.11
2716,1497114006556925952,0.16
2718,1497114429133045760,0.16
2721,1497114761481306112,0.16
2725,1497115348776087552,0.27
2738,1497117082751619072,0.27
2740,1497117947755597824,0.16
2742,1497118200261398528,0.12
2744,1497118338505269248,0.1
2754,1497119134559219712,0.1
2784,1497120504787783680,1.0
2790,1497121030170501120,0.27
2804,1497123124780978176,0.12
2807,1497123594601566208,0.19
2809,1497123926836924416,0.01
2825,1497126292101091328,0.36
2837,1497128891927912448,0.0
2844,1497130240921186304,0.24
2846,1497131051042312192,0.21
2848,1497131686877822976,0.27
2854,1497132829590839296,0.14
2857,1497133231778373632,0.89
2861,1497134200306163712,0.27
2864,1497135167143567360,0.27
2866,1497135472182767616,0.03
2873,1497136767186657280,0.27
2875,1497137279000797184,0.06
2876,1497137339109367808,0.4
2879,1497137514993311744,0.27
2882,1497138918789160960,0.23
2884,1497139312672088064,0.27
2889,1497141464362532864,0.27
2900,1497143157083017216,0.27
2910,1497145223159468032,0.27
2917,1497146765396832256,0.15
2918,1497146995936538624,0.07
2920,1497147103986036736,0.02
2924,1497148008407965696,0.27
2933,1497149872260190208,0.27
2938,1497150074614394880,0.17
2965,1497154318482485248,0.34
2977,1497155474583662592,0.27
2981,1497155618993496064,0.0
2988,1497156104081625088,0.35000000000000003
2990,1497156252933238784,0.35000000000000003
2992,1497156766643068928,0.14
2994,1497157283381673984,0.78
2998,1497157546649530368,0.06
3020,1497161114232123392,0.49
3022,1497162298028265472,0.49
3024,1497162381495054336,0.85
3038,1497164636839284736,0.13
3051,1497165346859790336,0.21
3085,1497170755343298560,0.27
3086,1497170917428178944,0.09
3093,1497172544750858240,0.27
3104,1497175527559348224,0.33
3111,1497177105154465792,0.11
3122,1497181045187358720,0.22
3123,1497181055362772992,0.28
3127,1497181537833340928,0.16
3133,1497183426956255232,0.06
3135,1497183662927978496,0.2
3141,1497184152264843264,0.86
3142,1497184732446015488,0.06
3143,1497185116162236416,0.75
3144,1497185210571845632,0.75
3147,1497185388011552768,0.75
3151,1497185791868805120,0.75
3152,1497185879869521920,0.75
3155,1497186223164899328,0.75
3157,1497186416518119424,0.75
3158,1497186477373280256,0.75
3160,1497186642146508800,0.75
3162,1497186752054054912,0.75
3164,1497186860355158016,0.75
3165,1497186944442597376,0.75
3166,1497187276115173376,0.75
3167,1497187309485133824,0.27
3168,1497187333770444800,0.75
3169,1497187508882264064,0.08
3171,1497187572845801472,0.75
3174,1497187738973794304,0.75
3175,1497187901632876544,0.21
3176,1497187956544917504,0.75
3178,1497188270291447808,0.75
3180,1497188663721361408,0.75
3183,1497188730842587136,0.0
3185,1497188885687902208,0.23
3186,1497189007037382656,0.75
3188,1497189063627055104,0.27
3189,1497189180480569344,0.75
3190,1497189311242174464,0.75
3191,1497189477630226432,0.75
3192,1497189486945525760,0.2
3195,1497189928618565632,0.75
3197,1497190080670167040,0.16
3198,1497190265995796480,0.75
3199,1497190317212282880,0.2
3200,1497190473886494720,0.75
3201,1497190693927854080,0.27
3202,1497190697384177664,0.75
3203,1497190806306029568,0.75
3206,1497190961323311104,0.75
3209,1497191113140350976,0.75
3212,1497191324155805696,0.75
3213,1497191527696994304,0.75
3214,1497191684324864000,0.75
3215,1497191874331025408,0.75
3217,1497192160831377408,0.75
3219,1497192511877824512,0.75
3220,1497192543683026944,0.12
3221,1497192766857625600,0.75
3227,1497193439947280384,0.75
3231,1497193947856314368,0.01
3234,1497194047978434560,0.75
3243,1497194213842173952,0.75
3244,1497194340078489600,0.75
3249,1497194381262135296,0.12
3252,1497194558626488320,0.27
