,tweet_type,bot,like_count,reply_count,retweet_count
1682,original,0.0,0,0,0
1687,original,0.0,24,2,7
1698,original,0.0,0,0,0
1706,original,0.0,0,0,0
1711,original,0.0,0,0,0
1712,original,0.0,1,0,0
1715,original,0.0,0,0,0
1719,original,0.0,8,0,1
1723,original,0.0,0,0,0
1724,original,0.0,1,0,0
1726,original,0.0,1,0,1
1731,original,0.0,22,0,7
1734,original,0.0,0,0,0
1736,original,0.0,4,0,0
1737,original,0.0,4,0,3
1739,original,0.0,0,0,0
1744,original,0.0,1,0,0
1747,original,0.0,2,0,0
1752,original,1.0,0,0,0
1753,original,0.0,0,0,0
1761,original,0.0,1,0,0
1767,original,0.0,1,0,1
1772,original,0.0,2,0,0
1775,original,0.0,1,1,0
1788,original,0.0,0,2,0
1792,original,0.0,0,0,0
1799,original,0.0,0,0,0
1802,original,0.0,91,11,40
1814,original,0.0,0,0,0
1815,original,0.0,2,0,0
1816,original,0.0,0,0,0
1818,original,0.0,83,27,8
1830,original,0.0,2,1,0
1838,original,1.0,0,0,0
1839,original,1.0,1,0,1
1840,original,0.0,4,0,2
1842,original,1.0,1,0,0
1843,original,0.0,1,0,0
1844,original,1.0,0,0,0
1845,original,1.0,2,0,0
1852,original,0.0,6,2,1
1858,original,1.0,0,0,0
1860,original,1.0,20,4,0
1861,original,0.0,0,0,0
1867,original,0.0,2,0,0
1882,original,1.0,0,0,0
1887,original,0.0,2,0,0
1889,original,0.0,0,0,1
1897,original,0.0,0,0,0
1909,original,0.0,0,0,0
1912,original,0.0,2,1,0
1913,original,0.0,16,0,4
1914,original,0.0,0,0,0
1915,original,0.0,0,0,0
1937,original,0.0,17,4,3
1965,original,0.0,2,0,1
1970,original,0.0,28,2,9
1972,original,0.0,0,1,1
1989,original,0.0,0,0,0
1991,original,0.0,9,1,4
2011,original,0.0,2,1,0
2013,original,0.0,34,4,8
2020,original,0.0,1,0,1
2021,original,1.0,0,0,0
2025,original,1.0,0,0,0
2027,original,0.0,1,0,0
2029,original,0.0,23,0,0
2031,original,0.0,2,1,1
2039,original,0.0,12,7,3
2047,original,0.0,1,0,1
2059,original,0.0,3,1,0
2065,original,0.0,5,0,1
2071,original,0.0,5,1,1
2072,original,1.0,0,0,0
2076,original,0.0,5,0,0
2081,original,1.0,0,0,0
2085,original,0.0,1,0,0
2092,original,0.0,0,0,0
2102,original,0.0,0,1,0
2105,original,0.0,0,0,0
2106,original,0.0,4,0,0
2108,original,0.0,5,1,0
2112,original,1.0,5,0,2
2119,original,0.0,6,2,0
2127,original,0.0,0,0,0
2136,original,0.0,2,0,0
2145,original,1.0,1,0,1
2146,original,0.0,1,0,1
2147,original,0.0,0,2,0
2167,original,0.0,0,0,0
2169,original,0.0,7,0,4
2171,original,1.0,4,0,0
2173,original,0.0,3,2,1
2181,original,0.0,3,0,2
2184,original,0.0,1,0,0
2189,original,0.0,1,0,0
2195,original,0.0,1,0,0
2196,original,0.0,10,0,2
2229,original,0.0,0,0,0
2230,original,0.0,19,1,2
2231,original,0.0,0,0,0
2232,original,0.0,0,0,0
2233,original,0.0,4,0,0
2234,original,1.0,0,0,0
2240,original,0.0,29,5,11
2254,original,1.0,1,0,0
2256,original,1.0,0,0,0
2262,original,0.0,91,10,10
2265,original,0.0,0,0,0
2266,original,1.0,0,0,0
2274,original,0.0,1,0,0
2276,original,0.0,2,1,0
2293,original,0.0,2,0,0
2296,original,0.0,0,0,0
