,bot,followers_count
828,0.0,69
829,0.0,195
830,0.0,341
831,0.0,89
832,0.0,2364
833,0.0,6444
834,0.0,615
835,0.0,380
836,1.0,8652
837,0.0,870
838,0.0,266
839,1.0,10187
840,0.0,4
841,0.0,90
842,0.0,3880
843,0.0,223
844,0.0,1921
845,0.0,417
846,1.0,16482
847,1.0,48484
848,0.0,29
849,0.0,840
850,0.0,12304
851,0.0,2167
852,0.0,748
853,0.0,215
854,0.0,3959
855,0.0,621
856,0.0,178
857,0.0,43
858,1.0,312
859,0.0,4850
860,1.0,71210
861,0.0,609
863,0.0,649
864,0.0,517
865,0.0,1254
866,1.0,9962
867,0.0,72
868,0.0,941
869,0.0,847
870,0.0,500
871,0.0,456
872,0.0,1061
873,0.0,190
874,0.0,5466
875,0.0,477
876,0.0,25
877,0.0,657
878,0.0,764
879,0.0,366
880,1.0,3312
881,0.0,757756
882,0.0,1344
883,0.0,171
884,0.0,2788
885,0.0,4247
886,0.0,59
888,0.0,101
889,1.0,4764
890,0.0,17
891,0.0,785
892,0.0,288
893,0.0,4222
894,0.0,1704
895,0.0,19450
896,0.0,3016
897,1.0,2745
898,0.0,116
899,0.0,1447
900,0.0,1365
901,0.0,136
902,0.0,95
903,0.0,85
904,0.0,6432
905,0.0,1568
906,0.0,630
907,0.0,483
908,0.0,226
909,0.0,702
910,0.0,152
911,1.0,32835
912,0.0,3812
913,1.0,28538
914,0.0,1016
915,0.0,7880
916,0.0,7147
917,0.0,375
918,0.0,374
919,0.0,96
920,0.0,173
921,1.0,2320
922,0.0,574
923,1.0,1579
924,0.0,69
925,0.0,1860
926,1.0,14234
927,1.0,4433
928,0.0,248
929,0.0,647
930,0.0,371
931,0.0,21
932,0.0,224
933,0.0,1089
934,0.0,3811
935,0.0,33082
936,0.0,306
937,0.0,6209
938,0.0,18326
939,0.0,253
940,0.0,343
941,0.0,1380
942,0.0,62187
943,0.0,2810
944,0.0,34448
945,0.0,570
946,0.0,2671
947,0.0,199
948,1.0,3543
949,0.0,229
950,0.0,4789
951,0.0,1446
952,0.0,1155
953,0.0,38831
954,1.0,1852
955,1.0,1380
956,0.0,2069
957,0.0,2018
958,0.0,86
959,0.0,1078
960,0.0,3647
961,0.0,1234
962,0.0,79
963,0.0,13
964,0.0,716
965,1.0,3963
966,0.0,209
967,1.0,10711
968,1.0,223
969,1.0,2559
970,0.0,475
971,0.0,2551
972,0.0,6144
973,0.0,1034
974,0.0,971
975,0.0,433
976,0.0,1131
977,0.0,584
978,0.0,762
979,0.0,2130
980,0.0,145
981,0.0,1495
982,0.0,691
983,1.0,42245
984,0.0,740
985,0.0,155
986,1.0,2235
987,0.0,966
988,0.0,951
989,0.0,1629
990,0.0,1810
991,0.0,1799
992,0.0,851
993,0.0,988
994,0.0,3397
995,0.0,99
996,0.0,129
997,0.0,1008
998,0.0,223
999,0.0,183
1000,0.0,311
1001,0.0,252
1002,0.0,140
1003,0.0,461
1004,0.0,17
1005,0.0,649
1006,0.0,4119
1007,0.0,1897
1008,0.0,823
1009,0.0,5895
1010,1.0,81261
1011,0.0,252
1012,1.0,3616
1013,1.0,14373
1014,0.0,546
1015,0.0,312
1016,0.0,135
1017,0.0,104
1018,1.0,26463
1019,0.0,396
1020,0.0,819
1021,0.0,2867
1022,0.0,1522
1023,0.0,1428
1024,1.0,2615
1025,0.0,71
1026,0.0,1424
1027,0.0,1107
1028,1.0,9434
1029,1.0,200
1030,0.0,1991
1031,0.0,660
1032,1.0,23841
1033,0.0,1479
1034,0.0,62577
1035,1.0,10245
1036,1.0,8091
1037,0.0,1369
1038,0.0,1234
1039,0.0,554
1040,1.0,23
1041,0.0,286
1042,0.0,720
1043,0.0,511
1044,0.0,317
1045,0.0,1940
1046,0.0,1504
1047,0.0,816
1048,1.0,41735
1049,1.0,3344
1050,0.0,4093
1051,0.0,522
1052,0.0,781
1053,0.0,1608
1054,0.0,5193
1055,0.0,1823
1056,0.0,3187
1057,0.0,277
1058,0.0,597
1059,0.0,1104
1060,1.0,2219
1061,1.0,1153
1062,0.0,3492
1063,0.0,39
1064,0.0,142
1065,0.0,7742
1066,0.0,32
1067,0.0,20127
1068,0.0,141
1069,0.0,167
1070,0.0,38
1071,0.0,2338
1072,0.0,502
1073,0.0,799
1074,0.0,7771
1075,0.0,226
1076,0.0,1197
1077,0.0,102
1078,0.0,851
1079,0.0,5863
1080,0.0,1721
1081,0.0,226
1082,0.0,1161
1083,0.0,232
1084,0.0,14625
1085,0.0,1058
1086,0.0,1078
1087,0.0,382
1088,1.0,8139
1089,0.0,104
1090,0.0,739
1091,0.0,4549
1092,0.0,108
1093,0.0,956
1094,0.0,205
1095,0.0,31307
1096,0.0,93
1097,1.0,1993
1098,0.0,441
1099,0.0,537
1100,0.0,395
1101,0.0,1657
1102,0.0,634
1103,0.0,526
1104,1.0,2000
1105,0.0,5117
1106,0.0,2257
1107,1.0,9955
1108,0.0,227
1109,0.0,10274
1110,0.0,153052
1111,0.0,4
1112,0.0,815
1113,0.0,1529
1114,1.0,21
1115,0.0,4026
1116,0.0,1647
1117,0.0,1753
1118,0.0,1176
1119,0.0,62
1120,1.0,1979
1121,0.0,2864
1122,0.0,45
1123,0.0,544
1124,0.0,3171
1125,0.0,230
1126,1.0,16303
1127,0.0,1212
1128,0.0,4989
1129,0.0,1308
1130,0.0,451
1131,1.0,12050
1132,0.0,13
1133,0.0,77
1134,0.0,239
1135,0.0,7396
1136,0.0,445
1137,1.0,5605
1138,0.0,736
1139,1.0,5812
1140,1.0,955
1141,0.0,774
1142,1.0,174
1143,0.0,1527
1144,0.0,12
1145,0.0,564
1146,0.0,208
1147,0.0,335
1148,0.0,12350
1149,0.0,230
1150,0.0,2548
1151,0.0,45
1152,0.0,9466
1153,0.0,2212
1154,0.0,1095
1155,0.0,179
1156,0.0,21945
1157,0.0,1019
1158,0.0,694
1159,0.0,645
1160,0.0,120
1161,0.0,547
1162,0.0,783
1163,0.0,1009
1165,0.0,174
1166,0.0,50
1167,0.0,800
1168,0.0,3904
1169,1.0,1727
1170,1.0,9298
1171,0.0,2823
1172,0.0,3444
1173,0.0,720
1174,0.0,309
1175,1.0,15600
1176,0.0,1099
1177,1.0,96951
1178,0.0,12578
1179,1.0,18342
1180,1.0,8643
1181,0.0,309
1182,1.0,693
1183,0.0,769
1184,0.0,3296
1185,0.0,926
1186,1.0,2375
1187,0.0,113
1188,0.0,4107
1189,0.0,463
1190,0.0,1947
1191,0.0,315
1192,0.0,220
1193,0.0,10850
1194,0.0,12936
1195,0.0,998
1196,0.0,333
1197,0.0,60
1198,0.0,202
1199,0.0,288
1200,0.0,384
1201,1.0,1353
1202,0.0,38
1203,0.0,3350
1204,1.0,13458
1205,0.0,70
1206,0.0,245
1207,1.0,213
1208,0.0,1367
1209,0.0,985
1210,0.0,215
1211,0.0,146
1212,1.0,1789
1213,0.0,2489
1214,0.0,254
1215,1.0,3478
1216,0.0,3082
1217,0.0,504
1218,1.0,462
1219,0.0,2901
1220,0.0,551
1221,1.0,6190
1222,0.0,5403
1223,0.0,1568
1224,0.0,83
1225,1.0,21
1226,0.0,839
1227,0.0,244
1228,0.0,12
1229,0.0,11500
1230,0.0,99
1231,0.0,13479
1232,0.0,901
1233,0.0,52579
1234,0.0,4632
1235,0.0,403
1236,0.0,1675
1237,0.0,1299
1238,0.0,1217
1239,0.0,1463
1240,0.0,750
1241,0.0,4018
1242,0.0,84
1243,0.0,3948
1244,0.0,1084
1245,1.0,1142
1246,0.0,2549
