,from_bot_score,to_followers_count,gn
1142,0.01,769.0,0
1143,0.01,498.0,0
1144,0.01,439412.0,0
1145,0.01,592.0,0
1146,0.01,2155.0,0
1147,0.01,3950303.8125,0
1148,0.01,1043.0,0
1149,0.01,42.0,0
1150,0.01,101812.0,0
1151,0.01,62104999.0,0
1152,0.01,5710.0,0
1153,0.01,41.0,0
1154,0.01,1043.0,0
1155,0.01,38084.0,0
1156,0.01,51.0,0
1157,0.01,6497.5,0
1158,0.01,41.0,0
1159,0.01,473752.0,0
1160,0.01,2070.0,0
1161,0.01,50606.6,0
1162,0.01,891740.5,0
1163,0.01,1132.0,0
1164,0.01,1892.3333333333333,0
1165,0.01,2042852.5714285714,0
1166,0.01,22790.75,0
1167,0.01,75882.0,0
1168,0.01,11.0,0
1169,0.01,2836320.0,0
1170,0.01,31157959.5,0
1171,0.01,12878.0,0
1172,0.01,6719.0,0
1173,0.01,439.0,0
1174,0.01,1112.0,0
1175,0.01,75882.0,0
1176,0.01,232063.0,0
1177,0.01,105.0,0
1178,0.01,275.0,0
1179,0.01,420.0,0
1180,0.01,1761.0,0
1181,0.01,63997.0,0
1182,0.01,75882.0,0
1183,0.01,275.0,0
1184,0.01,446714.0,0
1185,0.01,1256.0,0
1186,0.01,436.0,0
1187,0.01,232063.0,0
1188,0.01,75882.0,0
1189,0.01,372.5,0
1190,0.01,75882.0,0
1191,0.01,1108.0,0
1192,0.01,385.5,0
1193,0.01,83.0,0
1194,0.01,31.0,0
1195,0.01,2721.0,0
1196,0.01,1783185.0,0
1197,0.01,219727.0,0
1198,0.01,31158175.5,0
1199,0.01,2354.0,0
1200,0.01,13146.0,0
1201,0.01,31157957.5,0
1202,0.01,418921.0,0
1203,0.01,31158787.0,0
1204,0.01,232063.0,0
1205,0.01,46874.0,0
1206,0.01,7207324.8125,0
1207,0.01,538.5,0
1208,0.01,156.25,0
1209,0.01,439419.0,0
1210,0.01,232062.0,0
1211,0.01,275.0,0
1212,0.01,232067.0,0
1213,0.01,628546.0,0
