,tweet_type,bot,count
700,original,0.0,2
701,quoted,0.0,2
702,retweeted,0.0,3
703,original,0.0,1
704,quoted,0.0,2
705,replied_to,0.0,1
706,retweeted,0.0,1
707,original,0.0,1
708,retweeted,1.0,4
709,original,0.0,1
710,retweeted,0.0,2
711,retweeted,0.0,1
712,replied_to,0.0,1
713,retweeted,0.0,1
714,retweeted,0.0,1
715,retweeted,1.0,6
716,retweeted,0.0,1
717,retweeted,0.0,1
718,retweeted,0.0,1
719,retweeted,1.0,1
720,original,0.0,1
721,retweeted,0.0,1
722,original,0.0,3
723,retweeted,0.0,19
724,retweeted,1.0,4
725,retweeted,0.0,1
726,retweeted,0.0,1
727,retweeted,0.0,2
728,retweeted,0.0,2
729,retweeted,0.0,1
730,quoted,0.0,1
731,retweeted,0.0,2
732,retweeted,0.0,1
733,retweeted,1.0,3
734,retweeted,0.0,3
735,original,1.0,2
736,original,0.0,2
737,replied_to,0.0,1
738,retweeted,1.0,1
739,retweeted,0.0,1
740,replied_to,0.0,1
741,retweeted,0.0,1
742,retweeted,0.0,1
743,retweeted,0.0,1
744,original,0.0,5
745,quoted,0.0,2
746,replied_to,0.0,2
747,retweeted,0.0,1
748,retweeted,0.0,1
749,retweeted,0.0,1
750,retweeted,0.0,3
751,retweeted,1.0,1
752,retweeted,0.0,1
753,retweeted,0.0,1
754,retweeted,0.0,1
755,retweeted,0.0,1
756,original,0.0,1
757,retweeted,1.0,2
758,retweeted,0.0,1
759,retweeted,0.0,2
760,retweeted,0.0,1
761,retweeted,0.0,1
762,retweeted,1.0,1
763,original,0.0,1
764,original,0.0,1
765,retweeted,0.0,1
766,original,0.0,2
767,retweeted,0.0,1
768,original,0.0,11
769,quoted,0.0,2
770,replied_to,0.0,2
771,retweeted,0.0,1
772,original,0.0,1
773,retweeted,0.0,1
774,retweeted,0.0,2
775,retweeted,0.0,1
776,retweeted,0.0,1
777,retweeted,0.0,1
778,retweeted,0.0,1
779,retweeted,0.0,1
780,replied_to,0.0,1
781,replied_to,0.0,1
782,retweeted,0.0,1
783,retweeted,0.0,2
784,retweeted,0.0,9
785,retweeted,0.0,1
786,retweeted,0.0,1
787,retweeted,0.0,4
788,retweeted,0.0,2
789,retweeted,0.0,1
790,original,0.0,1
791,replied_to,1.0,1
792,retweeted,0.0,1
793,retweeted,0.0,1
794,quoted,0.0,1
795,retweeted,0.0,1
796,original,0.0,3
797,retweeted,0.0,1
798,retweeted,0.0,1
799,retweeted,0.0,2
800,retweeted,1.0,1
801,retweeted,1.0,1
802,retweeted,0.0,6
803,original,0.0,3
804,quoted,0.0,1
805,retweeted,0.0,3
806,retweeted,0.0,2
807,retweeted,0.0,1
808,retweeted,0.0,1
809,retweeted,0.0,1
810,retweeted,0.0,1
811,retweeted,0.0,2
812,retweeted,1.0,1
813,original,0.0,1
814,retweeted,0.0,1
815,retweeted,1.0,1
816,retweeted,0.0,1
817,retweeted,0.0,1
818,retweeted,0.0,2
819,original,0.0,1
820,retweeted,1.0,1
821,retweeted,1.0,1
822,retweeted,1.0,3
823,retweeted,0.0,1
824,retweeted,0.0,1
825,retweeted,0.0,1
826,retweeted,0.0,1
827,retweeted,0.0,1
828,retweeted,1.0,1
829,retweeted,1.0,1
830,original,0.0,1
831,retweeted,0.0,1
832,retweeted,1.0,1
833,retweeted,0.0,1
834,retweeted,0.0,1
835,retweeted,0.0,1
836,retweeted,0.0,1
837,retweeted,0.0,1
838,original,0.0,1
839,replied_to,0.0,1
840,retweeted,0.0,1
841,retweeted,0.0,1
842,retweeted,0.0,5
843,replied_to,0.0,1
844,replied_to,0.0,1
845,retweeted,1.0,2
846,retweeted,0.0,1
847,retweeted,0.0,2
848,retweeted,0.0,1
849,retweeted,0.0,1
850,retweeted,0.0,1
851,original,1.0,2
852,retweeted,0.0,2
853,retweeted,0.0,1
854,retweeted,0.0,1
855,retweeted,1.0,1
856,retweeted,0.0,1
857,retweeted,0.0,1
858,retweeted,1.0,2
859,retweeted,0.0,1
860,retweeted,0.0,1
861,retweeted,1.0,1
862,retweeted,0.0,1
863,retweeted,0.0,1
864,retweeted,0.0,1
865,original,0.0,1
866,replied_to,0.0,1
867,retweeted,0.0,1
868,retweeted,0.0,2
869,retweeted,0.0,1
870,retweeted,0.0,1
871,retweeted,1.0,1
872,retweeted,0.0,1
873,retweeted,0.0,1
874,retweeted,0.0,1
875,retweeted,0.0,1
876,retweeted,0.0,1
877,retweeted,0.0,1
878,original,0.0,1
879,retweeted,0.0,1
880,retweeted,0.0,1
881,retweeted,0.0,1
882,retweeted,1.0,2
883,retweeted,0.0,7
884,retweeted,0.0,1
885,retweeted,0.0,1
886,retweeted,0.0,1
887,retweeted,0.0,1
888,retweeted,0.0,1
889,retweeted,1.0,1
890,retweeted,1.0,1
891,retweeted,0.0,1
892,retweeted,0.0,1
893,retweeted,0.0,1
894,retweeted,0.0,1
895,original,1.0,3
896,retweeted,0.0,1
897,retweeted,0.0,1
898,retweeted,1.0,1
899,original,0.0,1
900,retweeted,0.0,1
901,original,0.0,2
902,retweeted,0.0,2
903,retweeted,0.0,1
904,original,0.0,1
905,retweeted,0.0,1
906,retweeted,0.0,2
907,retweeted,0.0,1
908,retweeted,0.0,1
909,retweeted,1.0,1
910,retweeted,0.0,1
911,retweeted,0.0,1
912,retweeted,1.0,1
913,retweeted,0.0,1
914,retweeted,0.0,1
915,original,0.0,2
916,retweeted,0.0,1
917,retweeted,0.0,1
918,retweeted,0.0,10
919,retweeted,1.0,1
920,retweeted,1.0,2
921,retweeted,0.0,1
922,retweeted,0.0,2
923,retweeted,0.0,1
924,retweeted,0.0,1
925,retweeted,0.0,1
926,retweeted,0.0,2
927,retweeted,0.0,1
928,retweeted,0.0,2
929,retweeted,0.0,1
930,retweeted,0.0,1
931,original,1.0,1
932,retweeted,0.0,1
933,retweeted,1.0,1
934,original,0.0,1
935,quoted,0.0,1
937,retweeted,0.0,1
938,original,0.0,3
939,original,0.0,1
940,retweeted,0.0,2
941,original,1.0,1
942,retweeted,0.0,5
943,retweeted,0.0,1
944,retweeted,0.0,1
945,retweeted,0.0,2
946,retweeted,0.0,1
947,retweeted,0.0,1
948,quoted,0.0,1
949,retweeted,0.0,1
950,retweeted,0.0,1
951,retweeted,0.0,2
952,original,0.0,1
953,retweeted,0.0,1
954,retweeted,0.0,1
955,retweeted,1.0,1
956,retweeted,0.0,2
957,retweeted,0.0,1
958,retweeted,0.0,1
959,quoted,0.0,1
960,quoted,0.0,1
961,replied_to,0.0,1
963,original,0.0,1
964,original,1.0,1
965,original,0.0,1
966,retweeted,0.0,1
967,original,0.0,1
968,retweeted,0.0,1
969,original,0.0,2
970,original,0.0,1
971,original,0.0,1
972,retweeted,1.0,2
973,retweeted,0.0,5
974,retweeted,0.0,1
975,original,0.0,1
976,retweeted,0.0,1
977,retweeted,0.0,1
978,original,0.0,4
979,retweeted,0.0,1
980,original,0.0,1
981,retweeted,0.0,1
982,retweeted,0.0,5
983,retweeted,0.0,1
984,retweeted,0.0,1
985,retweeted,0.0,1
986,retweeted,1.0,7
987,retweeted,0.0,1
988,retweeted,1.0,1
989,retweeted,0.0,1
990,replied_to,0.0,1
991,retweeted,0.0,1
992,original,0.0,1
993,retweeted,0.0,1
994,retweeted,0.0,1
995,retweeted,0.0,1
996,retweeted,1.0,1
997,replied_to,0.0,1
998,retweeted,1.0,1
999,original,0.0,1
1000,retweeted,0.0,1
1001,retweeted,1.0,1
1002,retweeted,1.0,1
1003,retweeted,0.0,1
1004,retweeted,0.0,1
1005,retweeted,0.0,2
1006,replied_to,0.0,1
1007,retweeted,0.0,1
1008,retweeted,0.0,1
1009,original,0.0,1
1010,original,0.0,1
1011,original,0.0,2
1012,original,0.0,1
1013,original,0.0,1
1014,retweeted,0.0,1
1015,replied_to,0.0,1
1016,retweeted,0.0,1
1017,retweeted,0.0,1
1018,retweeted,0.0,1
1019,retweeted,0.0,2
1020,retweeted,0.0,3
1021,retweeted,0.0,2
1022,retweeted,0.0,2
1023,retweeted,0.0,1
1024,original,0.0,2
1025,quoted,0.0,1
1026,replied_to,0.0,3
1027,retweeted,0.0,1
1028,retweeted,1.0,1
1029,retweeted,0.0,1
1030,retweeted,0.0,2
1031,retweeted,0.0,1
1032,original,0.0,1
1033,retweeted,0.0,5
1034,original,0.0,1
1035,retweeted,1.0,1
1036,retweeted,1.0,2
1037,retweeted,0.0,1
1038,retweeted,0.0,1
1039,retweeted,0.0,1
1040,retweeted,0.0,1
1041,retweeted,0.0,1
1042,original,0.0,1
1043,retweeted,0.0,1
1044,original,0.0,1
1045,retweeted,0.0,1
1046,original,1.0,1
1047,retweeted,0.0,1
1048,original,1.0,1
1049,retweeted,1.0,3
1050,retweeted,1.0,1
1051,retweeted,0.0,1
1052,retweeted,0.0,3
1053,retweeted,0.0,1
1054,quoted,0.0,15
1055,retweeted,0.0,1
1056,retweeted,0.0,1
1057,retweeted,0.0,1
1058,retweeted,0.0,1
1059,retweeted,0.0,1
1060,original,0.0,1
1061,original,0.0,1
1062,retweeted,0.0,1
1063,retweeted,0.0,1
1064,retweeted,1.0,1
1065,original,0.0,1
1066,retweeted,0.0,3
1067,retweeted,1.0,1
1068,retweeted,0.0,1
1069,original,0.0,1
1070,quoted,0.0,1
1071,retweeted,0.0,15
1072,retweeted,0.0,1
1073,retweeted,0.0,1
1074,retweeted,0.0,2
1075,retweeted,0.0,1
1076,original,0.0,1
1077,original,0.0,6
1078,quoted,0.0,1
1079,retweeted,0.0,1
1080,retweeted,0.0,3
1081,retweeted,0.0,1
1082,retweeted,0.0,9
1083,retweeted,0.0,1
1084,retweeted,0.0,1
1085,original,0.0,1
1086,retweeted,0.0,1
1087,retweeted,0.0,2
1088,retweeted,0.0,1
1089,retweeted,0.0,1
1090,retweeted,0.0,1
1091,retweeted,0.0,1
1092,original,0.0,1
1093,retweeted,0.0,1
1094,retweeted,0.0,1
1095,original,1.0,1
1096,original,0.0,1
1097,retweeted,1.0,1
1098,retweeted,1.0,3
1099,retweeted,0.0,1
1100,retweeted,0.0,2
1101,original,0.0,1
1102,quoted,0.0,1
1103,retweeted,1.0,4
1104,retweeted,0.0,1
1105,retweeted,0.0,1
1106,retweeted,0.0,5
1107,retweeted,0.0,1
1108,retweeted,0.0,1
1109,retweeted,1.0,1
1110,retweeted,0.0,1
1111,original,0.0,1
1112,retweeted,0.0,1
1113,retweeted,1.0,1
1114,original,1.0,1
1115,quoted,0.0,1
1116,replied_to,0.0,1
1117,retweeted,1.0,1
1118,retweeted,0.0,1
1119,retweeted,0.0,1
1120,original,1.0,2
1121,retweeted,1.0,1
1122,retweeted,0.0,1
1123,quoted,0.0,1
1124,quoted,0.0,1
1125,retweeted,1.0,2
1126,retweeted,0.0,1
1127,retweeted,0.0,1
1128,retweeted,0.0,1
1129,original,0.0,7
1130,quoted,0.0,3
